iter	Passed	Remaining
926	11230	884
927	11232	871
928	11234	858
929	11239	845
930	11242	833
931	11244	820
932	11246	807
933	11247	794
934	11249	782
935	11251	769
936	11254	756
937	11256	744
938	11258	731
939	11260	718
940	11261	706
941	11263	693
942	11265	680
943	11266	668
944	11270	655
945	11272	643
946	11274	630
947	11275	618
948	11277	606
949	11278	593
950	11280	581
951	11282	568
952	11286	556
953	11288	544
954	11289	531
955	11291	519
956	11293	507
957	11294	495
958	11296	482
959	11297	470
960	11302	458
961	11304	446
962	11306	434
963	11308	422
964	11310	410
965	11311	398
966	11315	386
967	11317	374
968	11319	362
969	11321	350
970	11322	338
971	11324	326
972	11325	314
973	11327	302
974	11332	290
975	11333	278
976	11335	266
977	11336	255
978	11338	243
979	11340	231
980	11341	219
981	11343	207
982	11345	196
983	11347	184
984	11349	172
985	11351	161
986	11353	149
987	11355	137
988	11359	126
989	11360	114
990	11362	103
991	11364	91
992	11365	80
993	11367	68
994	11369	57
995	11370	45
996	11375	34
997	11377	22
998	11378	11
999	11380	0
